Length,windowSize,time
50000,3,30.294718
100000,3,19.496836
200000,3,29.384048
300000,3,32.716018
400000,3,69.023866
500000,3,60.02913
600000,3,86.252423
700000,3,66.599766
800000,3,112.357218
900000,3,133.862474

50000,3,63.679743
100000,3,28.303092
200000,3,21.184282
300000,3,27.907008
400000,3,72.249468
500000,3,222.306664
600000,3,136.305702
700000,3,59.991808
800000,3,86.637313
900000,3,133.6558

50000,3,58.341684
100000,3,18.359898
200000,3,18.778844
300000,3,29.059341
400000,3,78.870489
500000,3,68.105731
600000,3,50.608918
700000,3,81.335643
800000,3,95.327403
900000,3,132.371905

50000,3,58.736836
100000,3,20.456492
200000,3,20.86704
300000,3,34.718374
400000,3,54.840829
500000,3,105.786582
600000,3,99.958665
700000,3,81.606232
800000,3,82.027977
900000,3,159.302927

50000,3,85.298366
100000,3,18.911338
200000,3,21.44694
300000,3,35.564195
400000,3,39.454139
500000,3,96.320649
600000,3,55.605008
700000,3,88.361614
800000,3,106.915122
900000,3,132.255271

50000,3,54.059387
100000,3,19.524362
200000,3,18.412615
300000,3,30.246198
400000,3,104.624917
500000,3,88.726909
600000,3,93.631559
700000,3,92.403647
800000,3,87.692141
900000,3,141.868162

50000,3,35.179774
100000,3,19.043367
200000,3,22.03337
300000,3,29.231958
400000,3,63.833232
500000,3,53.70529
600000,3,109.524903
700000,3,54.752654
800000,3,114.006875
900000,3,195.702215

50000,3,33.151292
100000,3,18.768113
200000,3,19.79215
300000,3,25.068627
400000,3,62.991141
500000,3,68.40851
600000,3,70.447255
700000,3,74.078273
800000,3,86.86638
900000,3,151.581356

50000,3,42.634954
100000,3,21.592964
200000,3,22.798949
300000,3,34.335818
400000,3,72.603099
500000,3,55.961438
600000,3,71.38545
700000,3,87.883419
800000,3,84.91581
900000,3,164.41845
