SequentialCutOff,Length,Size,Time
50,100000,3,128.892043
100,100000,3,19.475376
200,100000,3,21.751585
400,100000,3,10.199788
800,100000,3,9.581633
1600,100000,3,11.031147
3200,100000,3,10.41346
6400,100000,3,10.036968
12800,100000,3,11.907761
25600,100000,3,10.120944
51200,100000,3,17.118456
102400,100000,3,23.739943
204800,100000,3,15.723059
409600,100000,3,15.562105
819200,100000,3,15.523384
50,200000,3,19.040101
100,200000,3,18.520852
200,200000,3,21.502924
400,200000,3,18.652413
800,200000,3,40.531827
1600,200000,3,19.279432
3200,200000,3,31.281899
6400,200000,3,18.282453
12800,200000,3,23.439031
25600,200000,3,19.542556
51200,200000,3,19.390933
102400,200000,3,25.229114
204800,200000,3,36.074582
409600,200000,3,37.320222
819200,200000,3,35.475088
50,300000,3,34.63673
100,300000,3,30.007801
200,300000,3,26.770535
400,300000,3,26.95948
800,300000,3,59.646574
1600,300000,3,53.54247
3200,300000,3,53.606852
6400,300000,3,35.264216
12800,300000,3,38.044279
25600,300000,3,56.830587
51200,300000,3,58.424726
102400,300000,3,51.001271
204800,300000,3,33.083179
409600,300000,3,59.702558
819200,300000,3,49.81488
50,400000,3,34.292896
100,400000,3,44.613982
200,400000,3,38.633043
400,400000,3,35.109794
800,400000,3,45.326843
1600,400000,3,38.519209
3200,400000,3,36.458537
6400,400000,3,45.070251
12800,400000,3,34.899854
25600,400000,3,35.207299
51200,400000,3,37.561886
102400,400000,3,34.472511
204800,400000,3,42.237935
409600,400000,3,68.293744
819200,400000,3,79.142477
50,500000,3,49.461715
100,500000,3,49.458916
200,500000,3,54.662146
400,500000,3,46.014977
800,500000,3,45.711732
1600,500000,3,92.844054
3200,500000,3,65.917229
6400,500000,3,83.12526
12800,500000,3,52.854802
25600,500000,3,53.355857
51200,500000,3,44.656437
102400,500000,3,90.416221
204800,500000,3,83.584327
409600,500000,3,91.283037
819200,500000,3,124.348021
50,600000,3,69.560844
100,600000,3,57.820568
200,600000,3,52.604274
400,600000,3,55.668923
800,600000,3,53.566263
1600,600000,3,51.008269
3200,600000,3,51.064252
6400,600000,3,54.179752
12800,600000,3,56.274948
25600,600000,3,51.210743
51200,600000,3,50.962082
102400,600000,3,67.960173
204800,600000,3,64.425727
409600,600000,3,74.974014
819200,600000,3,102.759256
50,700000,3,78.472537
100,700000,3,63.491264
200,700000,3,61.65966
400,700000,3,66.054856
800,700000,3,75.128437
1600,700000,3,71.612652
3200,700000,3,61.83321
6400,700000,3,63.575706
12800,700000,3,74.670769
25600,700000,3,67.322424
51200,700000,3,59.399312
102400,700000,3,64.369277
204800,700000,3,65.168446
409600,700000,3,94.279572
819200,700000,3,123.172361
50,800000,3,70.85827
100,800000,3,79.616007
200,800000,3,75.180221
400,800000,3,86.742283
800,800000,3,72.835898
1600,800000,3,70.814882
3200,800000,3,80.0998
6400,800000,3,65.687696
12800,800000,3,87.876887
25600,800000,3,73.744703
51200,800000,3,73.392937
102400,800000,3,87.626827
204800,800000,3,72.344174
409600,800000,3,113.649978
819200,800000,3,137.555074
50,900000,3,91.259711
100,900000,3,80.164182
200,900000,3,87.387496
400,900000,3,99.408157
800,900000,3,74.039084
1600,900000,3,93.608699
3200,900000,3,80.929761
6400,900000,3,78.689474
12800,900000,3,99.01907
25600,900000,3,80.778138
51200,900000,3,92.791802
102400,900000,3,103.208993
204800,900000,3,83.063678
409600,900000,3,93.902148
819200,900000,3,108.555915
50,1000000,3,88.656462
100,1000000,3,89.420176
200,1000000,3,117.93694
400,1000000,3,104.375323
800,1000000,3,112.598415
1600,1000000,3,89.310074
3200,1000000,3,96.148498
6400,1000000,3,99.549516
12800,1000000,3,101.045218
25600,1000000,3,99.927875
51200,1000000,3,85.147676
102400,1000000,3,98.339333
204800,1000000,3,97.779961
409600,1000000,3,108.869892
819200,1000000,3,128.193644
50,100000,5,16.765291
100,100000,5,17.139917
200,100000,5,19.397465
400,100000,5,16.377137
800,100000,5,16.437786
1600,100000,5,17.077868
3200,100000,5,19.456714
6400,100000,5,16.799348
12800,100000,5,18.981318
25600,100000,5,18.478397
51200,100000,5,22.617001
102400,100000,5,35.134986
204800,100000,5,35.604784
409600,100000,5,34.785088
819200,100000,5,37.628133
50,200000,5,34.623201
100,200000,5,38.242555
200,200000,5,33.044923
400,200000,5,37.748498
800,200000,5,34.369407
1600,200000,5,36.128233
3200,200000,5,32.319466
6400,200000,5,37.612271
12800,200000,5,34.508434
25600,200000,5,40.111949
51200,200000,5,36.217807
102400,200000,5,48.280457
204800,200000,5,68.922628
409600,200000,5,70.44259
819200,200000,5,72.456141
50,300000,5,57.139898
100,300000,5,55.912452
200,300000,5,49.707112
400,300000,5,50.079871
800,300000,5,49.419261
1600,300000,5,55.923183
3200,300000,5,61.900857
6400,300000,5,52.140075
12800,300000,5,52.867865
25600,300000,5,53.244823
51200,300000,5,59.421239
102400,300000,5,76.001784
204800,300000,5,84.148831
409600,300000,5,105.129705
819200,300000,5,129.540055
50,400000,5,78.005072
100,400000,5,67.199726
200,400000,5,68.794332
400,400000,5,64.999561
800,400000,5,68.306806
1600,400000,5,72.906344
3200,400000,5,68.157982
6400,400000,5,77.951421
12800,400000,5,71.247823
25600,400000,5,75.525455
51200,400000,5,80.724954
102400,400000,5,76.537363
204800,400000,5,95.146855
409600,400000,5,140.728425
819200,400000,5,138.745197
50,500000,5,102.465341
100,500000,5,91.985168
200,500000,5,88.105488
400,500000,5,89.482224
800,500000,5,87.338976
1600,500000,5,93.00454
3200,500000,5,89.549404
6400,500000,5,89.404313
12800,500000,5,94.480181
25600,500000,5,87.744859
51200,500000,5,107.475894
102400,500000,5,102.616032
204800,500000,5,92.050949
409600,500000,5,121.164407
819200,500000,5,172.190405
50,600000,5,113.390586
100,600000,5,107.080276
200,600000,5,101.321405
400,600000,5,107.286015
800,600000,5,115.277241
1600,600000,5,114.646957
3200,600000,5,109.319629
6400,600000,5,107.194575
12800,600000,5,115.672394
25600,600000,5,105.973195
51200,600000,5,121.285706
102400,600000,5,121.796559
204800,600000,5,144.55352
409600,600000,5,175.266716
819200,600000,5,242.378268
50,700000,5,124.48145
100,700000,5,122.804734
200,700000,5,140.646781
400,700000,5,127.198532
800,700000,5,122.657776
1600,700000,5,125.660376
3200,700000,5,132.061194
6400,700000,5,125.860985
12800,700000,5,130.70172
25600,700000,5,131.916569
51200,700000,5,136.641605
102400,700000,5,141.037735
