size,Length,Time
3,500000,1175.428137
5,500000,803.955351
7,500000,808.918318
9,500000,2145.393277
11,500000,861.494601
13,500000,895.758105
15,500000,1016.907584
17,500000,1102.727999
19,500000,1578.327912
21,500000,5145.300904
size,Length,Time
3,500000,1240.636238
5,500000,977.21458
7,500000,919.515311
9,500000,1510.136806
11,500000,1181.869077
13,500000,946.768706
15,500000,1007.514896
17,500000,1108.326849
19,500000,1232.877811
21,500000,1347.015316
size,Length,Time
3,500000,1240.746806
5,500000,1018.507322
7,500000,1042.546313
9,500000,899.432511
11,500000,908.629255
13,500000,1011.240154
15,500000,1214.446534
17,500000,1418.149306
19,500000,1417.133199
21,500000,1418.643362
size,Length,Time
3,1000000,2392.626276
5,1000000,1388.490004
7,1000000,1377.094028
9,1000000,1556.838985
11,1000000,1686.254477
13,1000000,1877.757437
15,1000000,2130.589752
17,1000000,2363.238496
19,1000000,2540.767427
21,1000000,2953.487233
size,Length,Time
3,1000000,2525.272035
5,1000000,1896.140195
7,1000000,2113.121398
9,1000000,2554.442877
11,1000000,2371.67666
13,1000000,1795.621691
15,1000000,2421.857301
17,1000000,2253.668807
19,1000000,2409.641629
21,1000000,3138.839437
size,Length,Time
3,1000000,2047.191571
5,1000000,1444.269029
7,1000000,1838.810419
9,1000000,1728.440627
11,1000000,2317.195993
13,1000000,2136.41487
15,1000000,2140.399986
17,1000000,2391.855099
19,1000000,2786.400221
21,1000000,2772.066027
size,Length,Time
3,1000000,2935.844395
5,1000000,1407.833351
7,1000000,1533.319711
9,1000000,1588.795023
11,1000000,1715.41832
13,1000000,1875.805468
15,1000000,2095.351196
17,1000000,3449.371954
19,1000000,3542.035927
21,1000000,3430.869298
